"telegroup","username","datetime","Symbol","dex","pair","open_price","high_price","low_price","close_price","views","volumeto","volumeto_before","pump_gain","dump_loss"
"Super Pumps &amp; Signal Kings","superpumpssignalkings",2018-10-08 20:59:00,"PEPE","Cryptopia","BTC",6.14e-06,6.14e-06,6.14e-06,6.14e-06,NA,0,0.0269848,0,0
"Signals Lion","PrivateLionGroup",2018-10-08 19:59:00,"KING","Cryptopia","BTC",3.8e-07,4.7e-07,4.7e-07,4.7e-07,NA,0.01825,0.001739,0.236842105263158,0
"Private Group For Pump","PrivateGroupforpump",2018-10-08 17:59:00,"FUZZ","Cryptopia","BTC",1.17e-06,1.17e-06,1.17e-06,1.17e-06,NA,0,0.006758,0,0
"Official McAfee Pump Signals","officialmcafeepumpsignals",2018-10-07 19:29:00,"XPTX","Cryptopia","BTC",3.097e-05,3.097e-05,3.097e-05,2.674e-05,NA,0.035245,0.04094,0,-0.136583790765257
"Private Group For Pump","PrivateGroupforpump",2018-10-06 20:30:00,"DOPE","Cryptopia","BTC",1.49e-06,1.49e-06,1.49e-06,1.49e-06,NA,0.004119,0.0007105,0,0
"Big Pump Signal","bigpumpsignal",2018-10-06 20:00:00,"EVX","Binance","BTC",8.064e-05,8.793e-05,8.156e-05,8.219e-05,23190,94.16,80.12,0.0904017857142856,-0.0652791993631297
"Cryptopia Pump Squad","cryptoflashsignals",2018-10-05 20:30:00,"SIB","Cryptopia","BTC",2.438e-05,2.438e-05,2.4e-05,2.393e-05,329,0.0183579,0.041817,0,-0.0184577522559475
"Donald Pump","DonaldPumpCrypto",2018-10-05 20:00:00,"FROST","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MassivePump","massivepump1",2018-10-05 18:00:00,"FRN","Yobit","BTC",7.7e-07,7.7e-07,7.7e-07,7.7e-07,47,0,0,0,0
"Whales Crypto Guide","Whalesguide",2018-10-04 19:59:00,"BRD","Binance","BTC",5.527e-05,5.555e-05,5.521e-05,5.429e-05,NA,10.91,21.87,0.00506603944273574,-0.0226822682268228
"Shark Pump Signals","Sharkpumpsignals",2018-10-04 19:00:00,"FRN","Cryptopia","BTC",9e-07,9.1e-07,9.1e-07,9.1e-07,NA,0.005055,0,0.0111111111111111,0
"??Crypto Coinsultants??","cryptocoinsultants07",2018-10-03 20:07:00,"LDC","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crypto Pump Island","crypto_pump_island",2018-10-03 16:00:00,"BEEZ","Cryptopia","BTC",2.2e-07,2.2e-07,2.2e-07,2.2e-07,881,0,0.008684,0,0
"Cryptopia Pump Squad","cryptoflashsignals",2018-10-02 20:29:00,"IVY","Cryptopia","BTC",2.55e-06,2.57e-06,2.45e-06,2.45e-06,413,0.0496171,0.12254,0.00784313725490189,-0.0466926070038911
