"","telegroup","username","datetime","Symbol","dex","pair","open_price","high_price","low_price","close_price","views","volumeto","volumeto_before","pump_gain","dump_loss","withdata","reprate","withcryptopiadata"
"23","Crypto Pump Island","crypto_pump_island",2018-10-20 16:00:00,"PCOIN","Cryptopia","BTC",1.3e-06,1.5e-06,1.3e-06,1.1e-06,819,0.055124,0.031041,0.153846153846154,-0.266666666666667,TRUE,0.230769230769231,TRUE
"26","?? Cryptopia Signal ??","cryptopiaPumpp",2018-10-19 12:00:00,"IXC","Cryptopia","BTC",3.9e-06,3.91e-06,3.8e-06,3.8e-06,489,0.008926,0.0181575,0.00256410256410254,-0.0281329923273657,TRUE,0.233009708737864,TRUE
"27","Super Pumps &amp; Signal Kings","superpumpssignalkings",2018-10-18 21:29:00,"KOBO","Cryptopia","BTC",3.01e-06,3.01e-06,3.01e-06,2.64e-06,NA,0.005339,0.0169934,0,-0.122923588039867,TRUE,0.235294117647059,TRUE
"28","Signals Lion","PrivateLionGroup",2018-10-18 19:55:00,"TAJ","Cryptopia","BTC",5.4e-07,5.7e-07,5.4e-07,5.7e-07,NA,0.006706,0.004922,0.0555555555555556,0,TRUE,0.237623762376238,TRUE
"31","??Cryptopia Pump Community????","Cryptopia_PumpCommunity",2018-10-17 19:30:00,"SDRN","Cryptopia","BTC",4e-07,7.3e-07,4.5e-07,5.5e-07,NA,0.23828,0.06329,0.825,-0.246575342465753,TRUE,0.24,TRUE
"32","CAMP(Crypto &amp; Massive Pumps)","ExeCrypto",2018-10-16 16:29:00,"GRW","Cryptopia","BTC",9e-08,9e-08,8e-08,8e-08,217,0.009076,5e-04,0,-0.111111111111111,TRUE,0.242424242424242,TRUE
"33","Crypto Pump Island","crypto_pump_island",2018-10-16 16:00:00,"DRXNE","Cryptopia","BTC",1.3e-07,1.3e-07,1.3e-07,1.3e-07,981,0,0.005909,0,0,TRUE,0.244897959183673,TRUE
"34","Super Pumps &amp; Signal Kings","superpumpssignalkings",2018-10-15 19:29:00,"NEVA","Cryptopia","BTC",3.42e-06,3.42e-06,3.42e-06,3.4e-06,NA,0.0006019,0.0022982,0,-0.00584795321637421,TRUE,0.247422680412371,TRUE
"35","Donald Pump","DonaldPumpCrypto",2018-10-14 20:00:00,"ALL","Cryptopia","BTC",6.5e-07,6.8e-07,6.5e-07,6.8e-07,592,0.006945,0.06,0.046153846153846,0,TRUE,0.25,TRUE
"39","Official McAfee Pump Signals","officialmcafeepumpsignals",2018-10-12 20:29:00,"FT","Cryptopia","BTC",2.23e-06,2.23e-06,2.23e-06,2.23e-06,NA,0,0.147443,0,0,TRUE,0.252631578947368,TRUE
"40","Signals Lion","PrivateLionGroup",2018-10-11 20:00:00,"MAC","Cryptopia","BTC",9.4e-07,9.5e-07,9.5e-07,9.5e-07,NA,0.002624,0.0077708,0.0106382978723404,0,TRUE,0.25531914893617,TRUE
"41","CAMP(Crypto &amp; Massive Pumps)","ExeCrypto",2018-10-10 21:00:00,"C2","Cryptopia","BTC",1.5e-07,2e-07,1.5e-07,2e-07,263,0.001911,0.0003127,0.333333333333333,0,TRUE,0.258064516129032,TRUE
"43","Crypto Pump Island","crypto_pump_island",2018-10-10 16:00:00,"SKR","Cryptopia","BTC",1.7e-07,1.7e-07,1.7e-07,1.7e-07,1235,0,0.0007608,0,0,TRUE,0.260869565217391,TRUE
"44","CAMP(Crypto &amp; Massive Pumps)","ExeCrypto",2018-10-09 20:59:00,"CQST","Cryptopia","BTC",8e-08,8e-08,8e-08,8e-08,261,0.000998,0.011963,0,0,TRUE,0.263736263736264,TRUE
"45","??DUTCH CRYPTO PUMPS!??","nederlandsecryptopumps",2018-10-09 20:37:00,"CON","Cryptopia","BTC",2e-07,2e-07,2e-07,1.8e-07,134,0.02366,0,0,-0.1,TRUE,0.266666666666667,TRUE
"47","Signal Plug ????","Signal_Plug",2018-10-09 20:00:00,"XZX","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.258426966292135,FALSE
"48","Super Pumps &amp; Signal Kings","superpumpssignalkings",2018-10-08 20:59:00,"PEPE","Cryptopia","BTC",6.14e-06,6.14e-06,6.14e-06,6.14e-06,NA,0,0.0269848,0,0,TRUE,0.25,TRUE
"49","Signals Lion","PrivateLionGroup",2018-10-08 19:59:00,"KING","Cryptopia","BTC",3.8e-07,4.7e-07,4.7e-07,4.7e-07,NA,0.01825,0.001739,0.236842105263158,0,TRUE,0.241379310344828,TRUE
"50","Private Group For Pump","PrivateGroupforpump",2018-10-08 17:59:00,"FUZZ","Cryptopia","BTC",1.17e-06,1.17e-06,1.17e-06,1.17e-06,NA,0,0.006758,0,0,TRUE,0.232558139534884,TRUE
"51","Official McAfee Pump Signals","officialmcafeepumpsignals",2018-10-07 19:29:00,"XPTX","Cryptopia","BTC",3.097e-05,3.097e-05,3.097e-05,2.674e-05,NA,0.035245,0.04094,0,-0.136583790765257,TRUE,0.223529411764706,TRUE
"52","Private Group For Pump","PrivateGroupforpump",2018-10-06 20:30:00,"DOPE","Cryptopia","BTC",1.49e-06,1.49e-06,1.49e-06,1.49e-06,NA,0.004119,0.0007105,0,0,TRUE,0.226190476190476,TRUE
"54","Cryptopia Pump Squad","cryptoflashsignals",2018-10-05 20:30:00,"SIB","Cryptopia","BTC",2.438e-05,2.438e-05,2.4e-05,2.393e-05,329,0.0183579,0.041817,0,-0.0184577522559475,TRUE,0.228915662650602,TRUE
