"","Symbol","mktcap"
"668","TIX",1311
"922","INK",1306
"1854","IMT",1303
"571","CFI",1302
"719","HVN",1302
"1241","TUBE",1302
"1448","GIN",1299
"1604","LFT",1294
"1251","GRFT",1291
"1257","TFD",1281
"1924","IOG",1264
"3","NMC",1259
"1265","HAV",1240
"627","XRL",1239
"1507","DCC",1236
"1397","FXT",1235
"1203","UTNP",1228
"462","MLN",1221
"2016","BCZERO",1154
"1914","EDN",1151
"569","ZRC",1144
"897","DBET",1133
"1111","CHAT",1133
"31","FLO",1123
"1648","SEM",1122
"267","SHIFT",1104
"1453","EXC",1103
"1299","SEN",1097
"1135","EKT",1087
"886","PHR",1080
"1700","INO",1079
"607","PLBT",1072
"1011","HTML",1064
"1361","ZCO",1056
"814","ART",1050
"423","INCNT",1048
"485","SOAR",1048
"1095","SPC",1047
"575","XEL",1041
"211","BITB",1040
"1076","BKX",1037
"880","UKG",1027
"1320","UUU",1021
"397","1ST",1008
"317","RVR",1007
"1107","AURA",1005
"1640","BBK",1004
"658","OAX",1000
"86","ECC",994
"573","NMR",992
"136","THC",978
"1213","DADI",978
"1114","HOT",975
"1972","SINS",973
"1974","NER",970
"2076","YEED",959
"1572","BOX",940
"1674","SDA",936
"1492","UPP",931
"40","DMD",926
"1010","CPAY",925
"1434","PAT",921
"1800","ZP",916
"1813","NSD",914
"1120","YEE",905
"1681","ROCK2",886
"1208","CAS",885
"74","PND",882
"1161","HLC",877
"1933","SIX",873
"761","COLX",865
"1165","HMC",865
"868","GRID",861
"1276","UP",856
"758","ORME",855
"139","CLAM",853
"187","MUE",849
"398","PEPECASH",838
"2003","IFOOD",838
"1062","QUN",837
"1349","CHX",837
"1149","LET",836
"1402","LIF",836
"1392","PAL",835
"1991","FREE",832
"836","LA",831
"852","DOV",831
"740","BMC",827
"1372","DAX",822
"1074","BCA",819
"1133","CV",818
"1029","TAU",811
"1311","XDCE",807
"1716","OPTI",801
"1281","NPX",794
"850","LUX",791
"1178","CHSB",791
"672","ONION",790
"1195","MLM",789
"1206","RMT",789
"1458","SOUL",782
"221","PURA",780
"1624","NPW",780
"1479","TMT",776
"524","HMQ",770
"57","POT",764
"1463","IVY",764
"88","RBY",758
"1345","MRK",756
"1517","CARD",747
"648","PBT",746
"1374","SS",746
"1704","AVINOC",746
"1697","VIN",742
"1995","MASH",739
"80","XMY",738
"1399","SKM",737
"21","ANC",734
"1021","MOT",733
"1597","ZPR",733
"226","XAUR",732
"784","HBT",731
"1146","BPT",731
"296","RADS",729
"586","ATCC",728
"1527","FTI",728
"589","FLASH",726
"1410","GSC",726
"100","AC",716
"76","BLK",715
"1536","HSC",706
"288","AMP",704
"1596","LCS",697
"752","CSNO",696
"1205","EVN",696
"1046","AIDOC",694
"439","XSPEC",691
"1923","BOXX",691
"1298","SWTH",690
"489","DTB",689
"1484","CEEK",683
"1782","FTT",677
"1253","ELEC",673
"1307","NCT",672
"1495","MVP",671
"1147","AXPR",668
"476","MUSIC",663
"733","XPA",660
"1176","MTN",660
"1754","UBEX",660
"1579","BWX",657
"1671","DACS",657
"1191","UCASH",656
"1544","NIM",650
"1008","DIM",649
"799","ZSC",648
"1043","GET",648
"215","GRC",647
"598","BET",640
"898","HST",639
"1362","LND",637
"1494","DAG",635
"1433","UBT",628
"1271","BANCA",625
"1958","MAS",621
"1639","RMESH",617
"115","VRC",615
"1363","XES",613
"1770","ABL",612
"145","IOC",609
"1226","REM",608
"1173","STK",606
"641","TOA",605
"1511","EGT",604
"952","CAPP",601
"861","RMC",599
"625","CVN",598
"209","DOT",596
"1354","BBC",595
"496","GUP",592
"1048","POLIS",586
"1227","EXY",584
"1780","XBI",584
"609","SNC",581
"645","OCT",581
"1696","ECOM",581
"810","CAG",580
"1324","DEV",578
"984","DAT",573
"357","RISE",569
"1710","NBC",568
"1851","ESN",568
"1231","BEZ",567
"1247","DATX",567
"529","DICE",564
"1049","HKN",564
"1306","XTL",564
"1214","NTK",561
"605","ECOB",557
"1215","GEM",556
"1075","UGC",553
"110","NYC",548
"2069","HLM",548
"379","XP",546
"539","APX",544
"491","XLR",540
"1277","BBN",537
"1758","THR",535
"953","ERO",534
"562","PPY",533
"1709","SCR",531
"138","XST",529
"1077","EKO",529
"923","BOT",527
"1524","GOT",522
"484","TAAS",519
"125","BSD",516
"1065","KRM",515
"1929","PYN",514
"386","NLC2",511
"1672","EBC",507
"822","DRT",505
"1364","VIPS",504
"298","YOC",499
"1384","MITX",499
"633","STA",498
"66","MINT",497
"1229","XNK",497
"1353","LNC",493
"2043","WIRE",493
"1280","1WO",490
"1498","ETK",487
"1549","ATMI",483
"236","GAM",482
"1688","MGD",482
"1376","TTT",480
"1545","BZ",480
"1560","BMX",480
"1318","SENT",479
"753","RVT",477
"1483","CBC",477
"1487","XMX",477
"1069","SXUT",473
"1412","DGX",472
"907","PAYX",471
"1992","TOL",471
"201","COVAL",467
"1873","CCL",461
"1127","TNC",457
"1548","OLT",457
"465","TIME",456
"494","DBIX",456
"1654","ZEL",456
"840","PRG",455
"921","DNA",455
"1189","DXT",455
"1249","CHP",455
"1170","CXO",454
"2036","SNET",454
"877","XSH",453
"1473","OMX",452
"1855","MIC",449
"330","ESP",448
"834","EXRN",447
"181","AU",443
"660","STX",443
"946","QBT",443
"1605","WAB",443
"1551","FNKOS",442
"1622","VEX",442
"1400","GEN",441
"452","WCT",440
"1960","TRXC",440
"1658","CZR",435
"1641","NCC",433
"1037","MDT",432
"1438","MRPH",432
"1653","FMF",431
"42","OMNI",427
"274","SIB",427
"1587","RLX",426
"1289","PCL",423
"273","EXP",420
"1052","ZAP",420
"564","MYST",418
"1979","DEC",417
"651","IXT",413
"1647","ZMN",412
"1064","LEV",410
"1061","BDG",409
"1124","SSC",408
"1141","IDH",404
"890","ZEPH",402
"1144","AID",402
"1845","UT",402
"196","OK",401
"690","TFL",399
"1565","GARD",399
"92","SLR",398
"1786","LGS",397
"1890","RET",397
"1649","ARO",396
"1793","ABX",396
"913","GBX",394
"212","GEO",393
"468","SWT",391
"835","POLL",389
"976","PRA",389
"554","PTOY",388
"396","SEQ",387
"481","DYN",386
"1263","DEB",386
"1333","BRM",384
"939","FLIXX",383
"1812","CBC",383
"927","TSL",380
"1599","LPC",376
"1753","DX",373
"1350","MSR",371
"1699","BTT",371
"1033","CAN",369
"1145","EVE",366
"280","SHND",364
"1830","DAV",363
"1745","TIC",362
"2008","RSTR",362
"1528","PCH",359
"1946","MLC",359
"1506","RTE",358
"1584","TRTL",355
"511","TRST",354
"1368","NBAI",351
